       238
   0.30901602E+09   0.10220184E+02   0.68588746E+09   0.40013106E+01   0.19537339E-02
   0.29853030E+09   0.10481536E+02   0.58597747E+09   0.40012183E+01   0.18116853E-02
   0.28840007E+09   0.10748975E+02   0.49931115E+09   0.40011339E+01   0.16784961E-02
   0.27861329E+09   0.11022644E+02   0.42433171E+09   0.40010565E+01   0.15537175E-02
   0.26915836E+09   0.11302687E+02   0.35963777E+09   0.40009844E+01   0.14369174E-02
   0.26002404E+09   0.11589253E+02   0.30397131E+09   0.40009182E+01   0.13276807E-02
   0.25119950E+09   0.11882495E+02   0.25620503E+09   0.40008575E+01   0.12256063E-02
   0.24267424E+09   0.12182567E+02   0.21533234E+09   0.40008016E+01   0.11303080E-02
   0.23443814E+09   0.12489628E+02   0.18045914E+09   0.40007496E+01   0.10414177E-02
   0.22648140E+09   0.12803842E+02   0.15079127E+09   0.40007015E+01   0.95858068E-03
   0.21879457E+09   0.13125375E+02   0.12562594E+09   0.40006572E+01   0.88145607E-03
   0.21136850E+09   0.13454397E+02   0.10434375E+09   0.40006163E+01   0.80971787E-03
   0.20419436E+09   0.13791083E+02   0.86400427E+08   0.40005784E+01   0.74305441E-03
   0.19726361E+09   0.14135612E+02   0.71319188E+08   0.40005430E+01   0.68116806E-03
   0.19056802E+09   0.14488165E+02   0.58683377E+08   0.40005102E+01   0.62377377E-03
   0.18409960E+09   0.14848931E+02   0.48130140E+08   0.40004799E+01   0.57059876E-03
   0.17785066E+09   0.15218100E+02   0.39345007E+08   0.40004518E+01   0.52138416E-03
   0.17181376E+09   0.15595868E+02   0.32055963E+08   0.40004255E+01   0.47588303E-03
   0.16598171E+09   0.15982435E+02   0.26028525E+08   0.40004010E+01   0.43385999E-03
   0.16034757E+09   0.16378007E+02   0.21061371E+08   0.40003783E+01   0.39509142E-03
   0.15490462E+09   0.16782793E+02   0.16982256E+08   0.40003571E+01   0.35936519E-03
   0.14964639E+09   0.17197007E+02   0.13644109E+08   0.40003375E+01   0.32647852E-03
   0.14456661E+09   0.17620870E+02   0.10922301E+08   0.40003190E+01   0.29624167E-03
   0.13965922E+09   0.18054606E+02   0.87110949E+07   0.40003017E+01   0.26847309E-03
   0.13491839E+09   0.18498445E+02   0.69213643E+07   0.40002855E+01   0.24300137E-03
   0.13033845E+09   0.18952622E+02   0.54782604E+07   0.40002705E+01   0.21966485E-03
   0.12591396E+09   0.19417378E+02   0.43191368E+07   0.40002565E+01   0.19831098E-03
   0.12163964E+09   0.19892960E+02   0.33917677E+07   0.40002433E+01   0.17879600E-03
   0.11751039E+09   0.20379619E+02   0.26527448E+07   0.40002309E+01   0.16098380E-03
   0.11352130E+09   0.20877615E+02   0.20662224E+07   0.40002193E+01   0.14474731E-03
   0.10966760E+09   0.21387210E+02   0.16026468E+07   0.40002084E+01   0.12996663E-03
   0.10594471E+09   0.21908675E+02   0.12377851E+07   0.40001982E+01   0.11652935E-03
   0.10234819E+09   0.22442287E+02   0.95184407E+06   0.40001887E+01   0.10433014E-03
   0.98873742E+08   0.22988327E+02   0.72872599E+06   0.40001796E+01   0.93270325E-04
   0.95517233E+08   0.23547087E+02   0.55540090E+06   0.40001711E+01   0.83257829E-04
   0.92274658E+08   0.24118863E+02   0.42136357E+06   0.40001631E+01   0.74206619E-04
   0.89142150E+08   0.24703956E+02   0.31818473E+06   0.40001556E+01   0.66036515E-04
   0.86115975E+08   0.25302678E+02   0.23913085E+06   0.40001486E+01   0.58672812E-04
   0.83192524E+08   0.25915346E+02   0.17884920E+06   0.40001419E+01   0.52046076E-04
   0.80368311E+08   0.26542285E+02   0.13310528E+06   0.40001356E+01   0.46091905E-04
